ImageName	GPS_SOD	CAM
CAM75-20220716140508_989-105.tif	50726.989000	75
CAM82-20220716140508_989-105.tif	50726.989000	82
CAM13-20220716140509_989-106.tif	50727.989000	13
CAM39-20220716140509_989-106.tif	50727.989000	39
CAM75-20220716140509_989-106.tif	50727.989000	75
CAM82-20220716140509_989-106.tif	50727.989000	82
CAM13-20220716140510_989-107.tif	50728.989000	13
CAM39-20220716140510_989-107.tif	50728.989000	39
CAM75-20220716140510_989-107.tif	50728.989000	75
CAM82-20220716140510_989-107.tif	50728.989000	82
CAM13-20220716140511_989-108.tif	50729.989000	13
CAM39-20220716140511_989-108.tif	50729.989000	39
CAM75-20220716140511_989-108.tif	50729.989000	75
CAM82-20220716140511_989-108.tif	50729.989000	82
CAM13-20220716140512_989-109.tif	50730.989000	13
CAM39-20220716140512_989-109.tif	50730.989000	39
CAM75-20220716140512_989-109.tif	50730.989000	75
CAM82-20220716140512_989-109.tif	50730.989000	82
CAM13-20220716140513_989-110.tif	50731.989000	13
CAM39-20220716140513_989-110.tif	50731.989000	39
CAM75-20220716140513_989-110.tif	50731.989000	75
CAM82-20220716140513_989-110.tif	50731.989000	82
CAM13-20220716140514_989-111.tif	50732.989000	13
CAM39-20220716140514_989-111.tif	50732.989000	39
CAM75-20220716140514_989-111.tif	50732.989000	75
CAM82-20220716140514_989-111.tif	50732.989000	82
CAM13-20220716140515_989-112.tif	50733.989000	13
CAM39-20220716140515_989-112.tif	50733.989000	39
CAM75-20220716140515_989-112.tif	50733.989000	75
CAM82-20220716140515_989-112.tif	50733.989000	82
CAM13-20220716140516_989-113.tif	50734.989000	13
CAM39-20220716140516_989-113.tif	50734.989000	39
CAM75-20220716140516_989-113.tif	50734.989000	75
CAM82-20220716140516_989-113.tif	50734.989000	82
CAM13-20220716140517_989-114.tif	50735.989000	13
CAM39-20220716140517_989-114.tif	50735.989000	39
CAM75-20220716140517_989-114.tif	50735.989000	75
CAM82-20220716140517_989-114.tif	50735.989000	82
CAM13-20220716140518_989-115.tif	50736.989000	13
CAM39-20220716140518_989-115.tif	50736.989000	39
CAM75-20220716140518_989-115.tif	50736.989000	75
CAM82-20220716140518_989-115.tif	50736.989000	82
CAM13-20220716140519_989-116.tif	50737.989000	13
CAM39-20220716140519_989-116.tif	50737.989000	39
CAM75-20220716140519_989-116.tif	50737.989000	75
